"","enddate","JCP.Close","lag","log.return","observation"
"194","2016-09-23",9.78,9.76,0.00204708362172479,194
"195","2016-09-26",9.57,9.78,-0.0217062785818629,195
"196","2016-09-27",9.55,9.57,-0.00209205097222398,196
"197","2016-09-28",9.55,9.55,0,197
"198","2016-09-29",9.25,9.55,-0.031917602968305,198
"199","2016-09-30",9.22,9.25,-0.00324851395583137,199
"200","2016-10-03",9.01,9.22,-0.0230399659482563,200
"201","2016-10-04",8.99,9.01,-0.00222222313671727,201
"202","2016-10-05",9.01,8.99,0.00222222313671727,202
"203","2016-10-06",9.37,9.01,0.0391780246300844,203
"204","2016-10-07",9.44,9.37,0.00744288390707837,204
"205","2016-10-10",9.06,9.44,-0.0410868601025212,205
"206","2016-10-11",9.01,9.06,-0.00553404843464156,206
"207","2016-10-12",8.93,9.01,-0.00891867673183855,207
"208","2016-10-13",8.73,8.93,-0.0226510250368968,208
"209","2016-10-14",8.67,8.73,-0.00689657905906049,209
"210","2016-10-17",8.52,8.67,-0.0174524499512261,210
"211","2016-10-18",8.48,8.52,-0.0047058910374127,211
"212","2016-10-19",8.85,8.48,0.0427070092160262,212
"213","2016-10-20",8.66,8.85,-0.0217027364454943,213
"214","2016-10-21",8.84,8.66,0.0205721540752082,214
"215","2016-10-24",8.56,8.84,-0.0321866864959013,215
"216","2016-10-25",8.37,8.56,-0.0224463056522666,216
"217","2016-10-26",8.41,8.37,0.00476758948347245,217
"218","2016-10-27",8.31,8.41,-0.0119618651174997,218
