Date,Open,High,Low,Close,Volume
31-May-16,7.88,7.94,7.74,7.79,12682481
27-May-16,7.78,7.87,7.68,7.86,9909974
26-May-16,7.94,8.00,7.63,7.66,11517564
25-May-16,7.85,7.95,7.68,7.91,13808755
24-May-16,7.73,7.85,7.62,7.83,11651657
23-May-16,7.77,7.96,7.66,7.68,13524568
20-May-16,7.68,7.75,7.48,7.74,13063546
19-May-16,7.36,7.68,7.33,7.60,18759457
18-May-16,7.20,7.39,7.10,7.30,18370839
17-May-16,7.41,7.45,7.18,7.26,20305305
16-May-16,7.75,7.85,7.35,7.39,32361623
13-May-16,7.36,7.97,7.31,7.58,70719994
12-May-16,7.81,7.98,7.65,7.80,22321837
11-May-16,7.85,8.09,7.75,7.89,20846429
10-May-16,8.34,8.38,7.99,8.09,18692407
9-May-16,8.55,8.70,8.13,8.43,18463486
6-May-16,8.59,8.60,8.02,8.26,34076405
5-May-16,9.00,9.09,8.75,8.93,17366905
4-May-16,9.26,9.30,8.86,9.03,16466049
3-May-16,9.57,9.64,9.32,9.32,11501359
2-May-16,9.50,9.75,9.32,9.62,15178196
29-Apr-16,9.69,9.69,9.23,9.28,13698877
28-Apr-16,9.56,9.84,9.52,9.66,10216156
27-Apr-16,9.52,9.66,9.40,9.63,7555924
26-Apr-16,9.42,9.55,9.17,9.49,10681338
25-Apr-16,9.50,9.58,9.41,9.47,9893869
22-Apr-16,9.52,9.75,9.51,9.53,7621913
21-Apr-16,9.88,9.90,9.51,9.55,12370019
20-Apr-16,9.75,10.05,9.71,9.81,9163667
19-Apr-16,9.91,9.97,9.63,9.74,11790251
18-Apr-16,9.83,9.98,9.76,9.90,9550243
15-Apr-16,9.66,9.97,9.48,9.85,12915124
14-Apr-16,10.10,10.12,9.59,9.66,14212198
13-Apr-16,9.81,10.08,9.62,10.06,12447058
12-Apr-16,9.82,9.97,9.55,9.75,21583128
11-Apr-16,10.02,10.10,9.77,9.79,18659859
8-Apr-16,10.14,10.18,9.89,10.02,11853768
7-Apr-16,10.54,10.57,9.98,10.16,18912699
6-Apr-16,10.47,10.72,10.25,10.58,10172325
5-Apr-16,10.41,10.56,10.24,10.43,12152857
4-Apr-16,10.81,10.99,10.52,10.54,12008008
1-Apr-16,11.01,11.13,10.61,10.63,12667960
31-Mar-16,11.22,11.30,11.03,11.06,8676971
30-Mar-16,11.47,11.50,11.04,11.22,12156992
29-Mar-16,11.32,11.46,11.22,11.43,11390683
28-Mar-16,10.89,11.35,10.88,11.22,8286973
24-Mar-16,10.90,10.93,10.54,10.91,11330005
23-Mar-16,11.23,11.28,10.96,10.96,10054841
22-Mar-16,11.45,11.51,11.25,11.26,8445506
21-Mar-16,11.53,11.73,11.43,11.53,5694188
18-Mar-16,11.52,11.85,11.48,11.57,12225243
17-Mar-16,11.20,11.60,11.05,11.52,8661526
16-Mar-16,11.10,11.25,11.00,11.23,8520327
15-Mar-16,11.34,11.40,10.94,11.19,13587031
14-Mar-16,11.12,11.72,11.06,11.48,15333487
11-Mar-16,11.65,11.70,11.16,11.22,14130635
10-Mar-16,11.62,11.78,11.32,11.55,12667381
9-Mar-16,11.90,11.92,11.41,11.51,16256966
8-Mar-16,11.63,11.99,11.50,11.86,19340137
7-Mar-16,11.15,11.86,11.06,11.68,25072287
4-Mar-16,11.11,11.49,10.88,11.21,34980080
3-Mar-16,10.53,10.92,10.35,10.84,20612002
2-Mar-16,10.06,10.61,10.01,10.58,17524191
1-Mar-16,10.20,10.28,9.90,10.18,20951348
29-Feb-16,9.58,10.23,9.42,10.20,38619454
26-Feb-16,9.65,9.71,8.89,9.59,65223372
25-Feb-16,7.83,8.47,7.74,8.36,32425462
24-Feb-16,7.50,7.72,7.35,7.70,10425292
23-Feb-16,7.50,7.74,7.42,7.55,10362068
22-Feb-16,7.35,7.44,7.15,7.40,12309786
19-Feb-16,7.51,7.53,7.26,7.32,13496900
18-Feb-16,7.74,7.83,7.56,7.63,12038726
17-Feb-16,7.45,7.84,7.42,7.83,14563530
16-Feb-16,7.10,7.48,6.90,7.42,12648673
12-Feb-16,6.98,7.12,6.88,6.99,8380468
11-Feb-16,7.39,7.49,6.93,6.99,10459073
10-Feb-16,7.41,7.58,7.36,7.49,7202278
9-Feb-16,7.27,7.54,7.26,7.39,8110147
